# created: Thu Jun  6 01:42:51 AM UTC 2024
# script: pkg_manifests_save_all_details
NAME                                               NAMESPACE                                   CATALOG_SOURCE        SOURCE_NAMESPACE        DEFAULT_CHANNEL             CHANNELS                                                                                                                                                                                                                                                                                              NS_OWN   NS_SINGLE   NS_MULTI   NS_ALL   DISPLAY_NAME
kiali-ossm                                         <none>                                      redhat-operators      openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     Kiali Operator
klusterlet                                         <none>                                      community-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      true     Klusterlet
klusterlet-product                                 <none>                                      redhat-operators      openshift-marketplace   stable-2.5                  stable-2.3,stable-2.4,stable-2.5                                                                                                                                                                                                                                                                      true     true        false      true     Klusterlet
kogito-operator                                    <none>                                      community-operators   openshift-marketplace   1.x                         1.x,alpha                                                                                                                                                                                                                                                                                             false    false       false      true     Kogito
koku-metrics-operator                              koku-metrics-operator                       community-operators   openshift-marketplace   beta                        alpha,beta                                                                                                                                                                                                                                                                                            true     true        false      false    Koku Metrics Operator
kong-gateway-operator                              kong-system                                 certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Kong
konveyor-operator                                  konveyor-tackle                             community-operators   openshift-marketplace   konveyor-0.4                alpha,beta,konveyor-0.1,konveyor-0.2,konveyor-0.3,konveyor-0.4,rc                                                                                                                                                                                                                                     true     true        true       false    Konveyor Operator
korrel8r                                           korrel8r                                    community-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     Korrel8r
kove-operator                                      kove-operator-system                        certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     Kove:SDM™ Operator
kuadrant-operator                                  <none>                                      community-operators   openshift-marketplace   stable                      alpha,stable                                                                                                                                                                                                                                                                                          false    false       false      true     Kuadrant Operator
kube-green                                         <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     kube-green
kubearmor-operator-certified                       <none>                                      certified-operators   openshift-marketplace   stable                      alpha,stable                                                                                                                                                                                                                                                                                          false    false       false      true     Kubearmor Operator
kubecost                                           <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Kubecost
kubemq-operator-marketplace                        <none>                                      certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       false    Kubemq Enterprise Operator
kubemq-operator-marketplace-rhmp                   <none>                                      redhat-marketplace    openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       false    Kubemq Enterprise Operator
kubernetes-imagepuller-operator                    <none>                                      community-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     Kubernetes Image Puller Operator
kubernetes-nmstate-operator                        openshift-nmstate                           redhat-operators      openshift-marketplace   stable                      4.13,stable                                                                                                                                                                                                                                                                                           true     true        false      false    Kubernetes NMState Operator
kubeturbo                                          <none>                                      community-operators   openshift-marketplace   stable                      beta,stable,v8.4.0,v8.5.0,v8.6.0                                                                                                                                                                                                                                                                      true     true        false      false    Kubeturbo Operator
kubeturbo-certified                                <none>                                      certified-operators   openshift-marketplace   stable                      beta,stable                                                                                                                                                                                                                                                                                           true     true        false      false    Kubeturbo Operator
kubeturbo-certified-rhmp                           <none>                                      redhat-marketplace    openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    Kubeturbo Operator
kubevirt-hyperconverged                            openshift-cnv                               redhat-operators      openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    OpenShift Virtualization
l5-operator                                        <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      true     L5 Operator
layer7-operator                                    layer7-operator-system                      community-operators   openshift-marketplace   preview                     preview,preview-v1.0.6                                                                                                                                                                                                                                                                                false    false       false      true     Layer7 Operator
lbconfig-operator                                  <none>                                      community-operators   openshift-marketplace   beta                        beta                                                                                                                                                                                                                                                                                                  true     true        false      false    External Load-Balancer Configuration Operator
leaksignal-operator                                <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     LeakSignal Operator
lenovo-locd-operator                               <none>                                      certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     lenovo-locd-operator
lib-bucket-provisioner                             <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     lib-bucket-provisioner
limitador-operator                                 <none>                                      community-operators   openshift-marketplace   stable                      alpha,stable                                                                                                                                                                                                                                                                                          false    false       false      true     Limitador
linstor-operator-rhmp                              <none>                                      redhat-marketplace    openshift-marketplace   stable                      alpha,stable                                                                                                                                                                                                                                                                                          true     false       false      false    Linstor Operator
local-storage-operator                             openshift-local-storage                     redhat-operators      openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    Local Storage
logging-operator                                   <none>                                      community-operators   openshift-marketplace   beta                        beta                                                                                                                                                                                                                                                                                                  true     true        true       true     Logging Operator
logic-operator-rhel8                               openshift-serverless-logic                  redhat-operators      openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     OpenShift Serverless Logic Operator
loki-helm-operator                                 <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Loki Helm Operator
loki-operator                                      <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Community Loki Operator
loki-operator                                      openshift-operators-redhat                  redhat-operators      openshift-marketplace   stable-5.9                  stable,stable-5.7,stable-5.8,stable-5.9                                                                                                                                                                                                                                                               false    false       false      true     Loki Operator
lvms-operator                                      openshift-storage                           redhat-operators      openshift-marketplace   stable-4.14                 stable-4.13,stable-4.14                                                                                                                                                                                                                                                                               true     true        false      false    LVM Storage
machine-deletion-remediation                       <none>                                      redhat-operators      openshift-marketplace   stable                      4.14-eus,candidate,stable                                                                                                                                                                                                                                                                             false    false       false      true     Machine Deletion Remediation operator
machine-deletion-remediation                       <none>                                      community-operators   openshift-marketplace   stable                      candidate,stable                                                                                                                                                                                                                                                                                      false    false       false      true     Machine Deletion Remediation Operator - Community Edition
mariadb-operator                                   <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     MariaDB Operator
marin3r                                            <none>                                      community-operators   openshift-marketplace   stable                      alpha,stable                                                                                                                                                                                                                                                                                          true     true        true       true     MARIN3R
marketplace-games-operator                         <none>                                      certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Arcade Operator
marketplace-games-operator-rhmp                    <none>                                      redhat-marketplace    openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Arcade Operator
mcg-operator                                       <none>                                      redhat-operators      openshift-marketplace   stable-4.14                 stable-4.13,stable-4.14                                                                                                                                                                                                                                                                               true     false       false      false    NooBaa Operator
memcached-operator-ogaye                           <none>                                      certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     memcached-operator-ogaye
memory-machine-operator                            <none>                                      certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Memory Machine Operator
mercury-operator                                   <none>                                      community-operators   openshift-marketplace   1.0.x                       1.0.x,dev,stable                                                                                                                                                                                                                                                                                      true     true        true       true     Mercury Operator
metallb-operator                                   metallb-system                              redhat-operators      openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     MetalLB Operator
microcks                                           <none>                                      community-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    Microcks Operator
minio-operator                                     minio-operator                              certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     Minio Operator
minio-operator-rhmp                                minio-operator                              redhat-marketplace    openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     Minio Operator Rhmp
model-builder-for-vision-certified                 <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    IBM Model Builder for Vision
model-builder-for-vision-certified-rhmp            <none>                                      redhat-marketplace    openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    IBM Model Builder for Vision
mongodb-atlas-kubernetes                           <none>                                      certified-operators   openshift-marketplace   stable                      beta,stable                                                                                                                                                                                                                                                                                           true     true        false      true     MongoDB Atlas Operator
mongodb-atlas-kubernetes                           <none>                                      community-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        true       true     MongoDB Atlas Operator
mongodb-enterprise                                 <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      true     MongoDB Enterprise Operator
mongodb-operator                                   <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     MongoDB Operator
move2kube-operator                                 <none>                                      community-operators   openshift-marketplace   stable                      alpha,prerelease,stable                                                                                                                                                                                                                                                                               false    false       false      true     Konveyor Move2Kube
mta-operator                                       openshift-mta                               redhat-operators      openshift-marketplace   stable-v7.0                 stable-v6.1,stable-v6.2,stable-v7.0                                                                                                                                                                                                                                                                   true     false       false      false    Migration Toolkit for Applications Operator
mtc-operator                                       openshift-migration                         redhat-operators      openshift-marketplace   release-v1.8                release-v1.7,release-v1.8                                                                                                                                                                                                                                                                             true     false       false      false    Migration Toolkit for Containers Operator
mtr-operator                                       mtr                                         redhat-operators      openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      false    Migration Toolkit for Runtimes Operator
mtv-operator                                       openshift-mtv                               redhat-operators      openshift-marketplace   release-v2.6                release-v2.1.0,release-v2.2.0,release-v2.3,release-v2.3.0,release-v2.4,release-v2.5,release-v2.6                                                                                                                                                                                                      true     false       false      false    Migration Toolkit for Virtualization Operator
multi-nic-cni-operator                             <none>                                      community-operators   openshift-marketplace   stable                      alpha,beta,stable                                                                                                                                                                                                                                                                                     true     true        false      true     multi-nic-cni-operator
multicluster-engine                                multicluster-engine                         redhat-operators      openshift-marketplace   stable-2.5                  stable-2.3,stable-2.4,stable-2.5                                                                                                                                                                                                                                                                      true     false       false      false    multicluster engine for Kubernetes
multicluster-global-hub-operator                   multicluster-global-hub                     community-operators   openshift-marketplace   alpha                       alpha,release-2.10,release-2.6,release-2.7,release-2.8,release-2.9                                                                                                                                                                                                                                    true     true        false      false    Multicluster Global Hub Operator
multicluster-global-hub-operator-rh                open-cluster-management                     redhat-operators      openshift-marketplace   release-1.1                 release-0.7,release-1.0,release-1.1                                                                                                                                                                                                                                                                   true     true        false      false    Multicluster Global Hub Operator
multicluster-operators-subscription                <none>                                      community-operators   openshift-marketplace   release-2.5                 release-2.3,release-2.4,release-2.5,release-2.6                                                                                                                                                                                                                                                       true     true        false      false    Multicluster Subscription Operator
must-gather-operator                               global-load-balancer-operator               community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Must Gather Operator
namespace-configuration-operator                   namespace-configuration-operator            community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Namespace Configuration Operator
ndmspc-operator                                    <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     NdmSpc operator
netapp-spark-operator                              <none>                                      certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     NetApp Supported Apache Spark on OpenShift
netobserv-operator                                 openshift-netobserv-operator                redhat-operators      openshift-marketplace   stable                      stable,v1.0.x                                                                                                                                                                                                                                                                                         false    false       false      true     Network Observability
netobserv-operator                                 openshift-netobserv-operator                community-operators   openshift-marketplace   community                   community,latest,v1.0.x                                                                                                                                                                                                                                                                               false    false       false      true     NetObserv Operator
netscaler-adm-agent-operator                       <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      true     NetScaler ADM Agent Operator
netscaler-operator                                 <none>                                      certified-operators   openshift-marketplace   stable                      stable,tech-preview                                                                                                                                                                                                                                                                                   true     true        true       true     NetScaler Operator
neuvector-certified-operator                       <none>                                      certified-operators   openshift-marketplace   beta                        beta                                                                                                                                                                                                                                                                                                  true     true        false      true     NeuVector Operator
neuvector-certified-operator-rhmp                  <none>                                      redhat-marketplace    openshift-marketplace   beta                        beta                                                                                                                                                                                                                                                                                                  true     true        false      true     NeuVector Operator
neuvector-community-operator                       <none>                                      community-operators   openshift-marketplace   beta                        beta                                                                                                                                                                                                                                                                                                  true     true        false      true     NeuVector Operator
nexus-operator                                     <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      false    EDP Nexus Operator
nexus-operator-m88i                                <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     Nexus Operator
nexus-repository-ha-operator-certified             <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      true     Nexus Repository HA Operator
nfd                                                openshift-nfd                               redhat-operators      openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    Node Feature Discovery Operator
nfs-provisioner-operator                           <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     false       false      true     NFS Provisioner Operator
nginx-ingress-operator                             nginx-ingress                               certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     Nginx Ingress Operator
nlp-server                                         <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     nlp-server
node-healthcheck-operator                          <none>                                      redhat-operators      openshift-marketplace   stable                      4.12-eus,4.14-eus,candidate,stable                                                                                                                                                                                                                                                                    false    false       false      true     Node Health Check Operator
node-healthcheck-operator                          <none>                                      community-operators   openshift-marketplace   stable                      alpha,candidate,stable                                                                                                                                                                                                                                                                                false    false       false      true     Node Health Check Operator
