# created: Thu Jun  6 01:42:51 AM UTC 2024
# script: pkg_manifests_save_all_details
NAME                                               NAMESPACE                                   CATALOG_SOURCE        SOURCE_NAMESPACE        DEFAULT_CHANNEL             CHANNELS                                                                                                                                                                                                                                                                                              NS_OWN   NS_SINGLE   NS_MULTI   NS_ALL   DISPLAY_NAME
aikit-operator                                     <none>                                      certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Intel® oneAPI AI Analytics Toolkit Operator
aikit-operator-rhmp                                <none>                                      redhat-marketplace    openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Intel® oneAPI AI Analytics Toolkit Operator
airflow-helm-operator                              airflow-helm                                community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Airflow Helm Operator
ako-operator                                       avi-system                                  certified-operators   openshift-marketplace   stable                      alpha,beta,stable                                                                                                                                                                                                                                                                                     true     true        false      false    AKO Operator
alloy                                              <none>                                      certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Alloy
alvearie-imaging-ingestion                         <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      false    Alvearie Imaging Ingestion Operator
amd-gpu-operator                                   openshift-amd-gpu                           community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     amd-gpu-operator
amq7-interconnect-operator                         <none>                                      redhat-operators      openshift-marketplace   1.10.x                      1.10.x,1.2.0,latest                                                                                                                                                                                                                                                                                   true     true        false      false    Red Hat Integration - AMQ Interconnect
amq-broker-rhel8                                   <none>                                      redhat-operators      openshift-marketplace   7.12.x                      7.10.x,7.11.x,7.12.x                                                                                                                                                                                                                                                                                  true     true        true       true     Red Hat Integration - AMQ Broker for RHEL 8 (Multiarch)
amq-online                                         <none>                                      redhat-operators      openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      true     Red Hat Integration - AMQ Online
amq-streams                                        <none>                                      redhat-operators      openshift-marketplace   stable                      amq-streams-2.2.x,amq-streams-2.3.x,amq-streams-2.4.x,amq-streams-2.5.x,amq-streams-2.6.x,amq-streams-2.7.x,amq-streams-2.x,amq-streams-lts,stable                                                                                                                                                    true     true        true       true     Red Hat Integration - AMQ Streams
analytics-operator                                 <none>                                      community-operators   openshift-marketplace   alpha                       alpha,dev-preview                                                                                                                                                                                                                                                                                     true     true        false      false    Observability Analytics
anchore-engine                                     <none>                                      certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     Anchore Engine Operator
annotationlab                                      johnsnowlabs-operator                       community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     NLPLab
ansible-automation-platform-operator               aap                                         redhat-operators      openshift-marketplace   stable-2.4-cluster-scoped   stable-2.4,stable-2.4-cluster-scoped                                                                                                                                                                                                                                                                  true     true        true       false    Ansible Automation Platform
ansible-cloud-addons-operator                      aap                                         redhat-operators      openshift-marketplace   stable-2.4-cluster-scoped   stable-2.4-cluster-scoped                                                                                                                                                                                                                                                                             true     true        true       true     Ansible Cloud Addons
anzo-operator                                      <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    Anzo Operator
anzo-operator-rhmp                                 <none>                                      redhat-marketplace    openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    Anzo Operator
anzograph-operator                                 <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    AnzoGraph Operator
anzograph-operator-rhmp                            <none>                                      redhat-marketplace    openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    AnzoGraph Operator
anzounstructured-operator                          <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    Anzo Unstructured Operator
anzounstructured-operator-rhmp                     <none>                                      redhat-marketplace    openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    Anzo Unstructured Operator
apicast-community-operator                         <none>                                      community-operators   openshift-marketplace   stable                      alpha,stable                                                                                                                                                                                                                                                                                          true     true        false      true     APIcast
apicast-operator                                   <none>                                      redhat-operators      openshift-marketplace   threescale-2.14             threescale-2.13,threescale-2.14,threescale-mas                                                                                                                                                                                                                                                        true     true        false      true     Red Hat Integration - 3scale APIcast gateway
apicurio-registry                                  <none>                                      community-operators   openshift-marketplace   2.x                         2.x                                                                                                                                                                                                                                                                                                   true     true        true       true     Apicurio Registry Operator
apicurito                                          <none>                                      community-operators   openshift-marketplace   latest                      1.0.x,candidate,latest,stable                                                                                                                                                                                                                                                                         true     true        false      false    API Designer
apimatic-kubernetes-operator                       <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     APIMatic Operator
app-insights-operator                              <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     App Insights
appdynamics-cloud-operator                         appdynamics                                 certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      true     Cisco AppDynamics Cloud Operator
appdynamics-operator                               appdynamics                                 certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      true     AppDynamics Operator for Kubernetes
application-services-metering-operator             <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     Application Services Metering Operator
aqua                                               <none>                                      community-operators   openshift-marketplace   2022.4.0                    2022.4.0                                                                                                                                                                                                                                                                                              true     true        false      false    Aqua Security Operator
